career,cluster
Civil Engineer,0
Genetic Counselor,1
Speech Therapist,1
Physical Therapist,1
Video Game Tester,2
Fashion Stylist,2
Financial Advisor,3
Police Detective,4
Public Health Analyst,5
Electronics Design Engineer,6
Construction Engineer,7
Market Research Analyst,8
Forensic Scientist,9
Social Media Manager,10
Customs and Border Protection Officer,11
Police Officer,11
Nurse,12
Aerospace Engineer,13
Event Photographer,14
Airline Pilot,15
Chef,16
Pediatric Nurse,17
Rehabilitation Counselor,17
Speech Pathologist,17
Web Developer,18
Radiologic Technologist,19
Salesperson,20
Tax Accountant,21
Architect,23
Graphic Designer,24
Foreign Service Officer,25
Diplomat,25
Biomedical Engineer,26
Teacher,27
Forestry Technician,28
Investment Banker,29
Software Developer,30
Artist,31
Event Planner,32
Human Rights Lawyer,33
Database Administrator,34
Musician,35
Accountant,36
Environmental Scientist,37
Industrial Engineer,39
Advertising Executive,40
Real Estate Agent,41
Administrative Officer,42
Sports Coach,43
Psychologist,44
Urban Planner,45
Research Scientist,46
Elementary School Teacher,47
Marketing Copywriter,49
Financial Analyst,50
Human Resources Manager,51
IT Project Manager,52
Product Manager,53
Physician,54
Environmental Engineer,55
Environmental Scientist,55
IT Support Specialist,56
Quality Control Inspector,57
Biologist,58
Marketing Manager,59
Game Developer,60
Air Traffic Controller,61
Journalist,62
Mechanical Engineer,64
Mechanical Designer,65
Astronomer,66
Dental Hygienist,67
Fashion Designer,68
Market Researcher,69
Marketing Coordinator,70
Lawyer,71
Pediatrician,72
Occupational Therapist,74
Marriage Counselor,74
Financial Auditor,75
HR Recruiter,76
Zoologist,77
Wildlife Biologist,77
Geologist,78
Social Worker,79
Robotics Engineer,80
Biomedical Researcher,81
Interior Designer,82
Technical Writer,83
Marketing Analyst,84
Chiropractor,85
Public Relations Specialist,86
Forensic Psychologist,87
Film Director,88
Wildlife Conservationist,90
Electrical Engineer,91
Marine Biologist,92
Tax Collector,94
Insurance Underwriter,94
Database Analyst,94
Data Analyst,95
Software Quality Assurance Tester,97
Pharmacist,101
Financial Planner,102
Biotechnologist,103
